"Type","Title","Director","Cast","Country","Date_added","Release_year","Rating","Duration","Listed_in","Age","IMDb","Rotten.Tomatoes","Netflix","Hulu","Prime.Video","Disney","Rating_category","Age_years","Cross_platform_score","Overall_score"
"TV Show","Sakho & Mangane","","Issaka Sawadogo, Yann Gael, Christiane Dumont, Fatou-Elise Ba, Khalima Gadji, Ricky Tribord, Ndiaga Mbow, Christophe Guybet","Senegal","December 27, 2020",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","","6.4/10","34/100",1,0,0,0,"High",5,0.25,0.49
"TV Show","Regiment Diaries","","","India","December 26, 2020",2020,"TV-PG","2 Seasons","Docuseries, International TV Shows","","8.8/10","48/100",1,0,0,0,"Low",4,0.25,0.68
"TV Show","Bridgerton","","Adjoa Andoh, Julie Andrews, Lorraine Ashbourne, Jonathan Bailey, Ruby Barker, Sabrina Bartlett, Harriet Cains, Bessie Carter, Nicola Coughlan, Phoebe Dynevor, Ruth Gemmell, Florence Hunt, Claudia Jessie, Ben Miller, Luke Newton, Regé-Jean Page, Golda Rosheuvel, Luke Thompson, Will Tilston, Polly Walker","United States","December 25, 2020",2020,"TV-MA","1 Season","Romantic TV Shows, TV Dramas","","7.3/10","79/100",1,0,0,0,"High",4,0.25,0.76
"TV Show","Lovestruck in the City","","Ji Chang-wook, Kim Ji-won, Kim Min-seok, Han Ji-eun, Ryu Gyeong-soo, So Joo-yeon","South Korea","December 22, 2020",2020,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","16+","7.8/10","55/100",1,0,0,0,"Medium",4,0.25,0.665
"TV Show","Rhyme Time Town Singalongs","","Luke Amis, Annabelle Westenholz-Smith, Maddie Evans, Jude Muir, Hannah Jane Fox, Rhashan Stone","United States","December 22, 2020",2020,"TV-Y","1 Season","Kids' TV","all","8.3/10","39/100",1,0,0,0,"Low",4,0.25,0.61
"TV Show","Shaun the Sheep","","John Sparkes, Justin Fletcher, Kate Harbour, Richard Webber, Jo Allen","United Kingdom, Finland, Germany, United States, Australia, Japan, France, Ireland","December 22, 2020",2016,"TV-Y","2 Seasons","British TV Shows, Kids' TV, TV Comedies","all","8.2/10","65/100",1,0,1,0,"Low",8,0.5,0.735
"TV Show","Timmy Time","","Kate Harbour, Justin Fletcher, Louis Jones","United Kingdom","December 22, 2020",2010,"TV-Y","1 Season","British TV Shows, Kids' TV","all","6.9/10","46/100",1,0,0,0,"Low",14,0.25,0.575
"TV Show","Diamond City","","Noxee Maqashalala, Angela Sithole, Nambitha Ben-Mazwi, Thabang Molaba, Lehlohonolo Makoko, Ilse Klink, Makgano Mamabolo, Tshepo Maseko","South Africa","December 18, 2020",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","","","20/100",1,0,0,0,"High",5,0.25,NA
"TV Show","Home for Christmas","","Ida Elise Broch, Gabrielle Susanne Solheim Leithaug, Dennis Storhøi, Anette Hoff, Felix Sandman, Ghita Nørby, Hege Schøyen, Bjørn Skagestad, Mads Sjøgård Pettersen","Norway","December 18, 2020",2020,"TV-MA","2 Seasons","International TV Shows, Romantic TV Shows, TV Comedies","18+","7.7/10","60/100",1,0,0,0,"High",4,0.25,0.685
"TV Show","Paava Kadhaigal","Sudha Kongara, Vignesh Shivan, Gautham Vasudev Menon, Vetri Maaran","Kalidas Jayaram, Shanthnu Bhagyaraj, Bhavani Sre, Kalki Koechlin, Anjali, Padam Kumar, Prakash Raj, Sai Pallavi, Hari, Gautham Vasudev Menon, Simran","India","December 18, 2020",2020,"TV-MA","1 Season","International TV Shows, TV Dramas","","8.1/10","54/100",1,0,0,0,"High",4,0.25,0.675
"TV Show","Morphle","","","Netherlands","December 17, 2020",2020,"TV-Y","2 Seasons","British TV Shows, Kids' TV","all","4.9/10","34/100",1,1,0,0,"Low",4,0.5,0.415
"TV Show","Run On","","Yim Si-wan, Shin Sae-kyeong, Choi Soo-young, Kang Tae-oh, Park Yeong-gyu, Cha Hwa-yeon, Lee Bong-ryeon, Ryu Abell, Seo Jae-hee, Yeon Je-wook, Choi Jae-hyun, Lee Jeong-ha, Park Sung-jun, Lee Hwang-eui, Lee Shin-ki, Kim Dong-yeong, Kim Si-eun, Kim Si-young","South Korea","December 17, 2020",2020,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","7.6/10","56/100",1,0,0,0,"High",4,0.25,0.66
"TV Show","BREAK IT ALL: The History of Rock in Latin America","Picky Talarico","","","December 16, 2020",2020,"TV-MA","1 Season","Docuseries, Spanish-Language TV Shows","18+","7.6/10","51/100",1,0,0,0,"High",4,0.25,0.635
"TV Show","The Ripper","Ellena Wood, Jesse Vile","","United Kingdom","December 16, 2020",2020,"TV-MA","1 Season","British TV Shows, Crime TV Shows, Docuseries","","7.1/10","58/100",1,0,0,0,"High",4,0.25,0.645
"TV Show","Black Ink Crew New York","","Ceaser Emanuel, Dutchess Lattimore, Puma Robinson, Alex Estevez, Sassy Bermudez","United States","December 15, 2020",2014,"TV-14","2 Seasons","Reality TV","16+","4.6/10","49/100",1,1,0,0,"Medium",10,0.5,0.475
"TV Show","Pup Academy","","Christian Convery, Don Lake, Chance Hurstfield, Aria Birch, Dylan Schombing, Riley O'Donnell","United States","December 15, 2020",2020,"TV-Y","2 Seasons","Kids' TV, TV Comedies","","6.6/10","44/100",1,0,0,0,"Low",4,0.25,0.55
"TV Show","Song Exploder","","Hrishikesh Hirway","United States","December 15, 2020",2020,"TV-MA","2 Seasons","Docuseries","18+","7.4/10","53/100",1,0,0,0,"High",4,0.25,0.635
"TV Show","Teen Mom 2","","Jenelle Evans, Chelsea Houska, Kailyn Lowry, Leah Messer","United States","December 15, 2020",2011,"TV-14","2 Seasons","Reality TV","7+","4.3/10","55/100",1,0,1,0,"Medium",13,0.5,0.49
"TV Show","The Challenge","","Jamie Chung, Landon Lueck, Diem Brown, Mike 'The Miz' Mizanin, Darrell Taylor, Wes Bergmann, Jodi Weatherton, Brad Fiorenza, Cara Maria Sorbello, Zachary Nichols, Turabi ""Turbo"" Çamkıran, Theo Campbell","United States","December 15, 2020",2006,"TV-14","2 Seasons","Reality TV","16+","7.7/10","67/100",1,1,1,0,"Medium",18,0.75,0.72
"TV Show","Hilda","","Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker","United Kingdom, Canada, United States","December 14, 2020",2021,"TV-Y7","2 Seasons","Kids' TV","7+","8.6/10","74/100",1,0,0,0,"Low",3,0.25,0.8
"TV Show","Tiny Pretty Things","","Lauren Holly, Kylie Jefferson, Casimere Jollette, Brennan Clost, Barton Cowperthwaite, Bayardo De Murguia, Damon J. Gillespie, Anna Maiche, Daniela Norman, Michael Hsu Rosen, Tory Trowbridge","United States","December 14, 2020",2020,"TV-MA","1 Season","TV Dramas, TV Mysteries, TV Thrillers","","5.9/10","55/100",1,0,0,0,"High",4,0.25,0.57
"TV Show","Children of Adam","","Maguy Bou Ghosn, Daniella Rahme, Maxim Khalil, Qays Sheikh Najib, Mohamed Yaghy, Rodney Haddad, Nada Abou Farhat","Lebanon","December 12, 2020",2020,"TV-14","1 Season","International TV Shows, TV Dramas, TV Thrillers","18+","7.9/10","40/100",1,0,0,0,"Medium",4,0.25,0.595
"TV Show","The Mess You Leave Behind","","Inma Cuesta, Bárbara Lennie, Tamar Novas, Arón Piper, Roberto Enríquez, Roque Ruíz, Isabel Garrido, Fede Pérez, Alfonso Agra, Susana Dans, Xavier Estévez, Xosé Antonio Touriñán, María Tasende, Camila Bossa, María Costas, Abril Zamora, Chelo Falcón, Ana Santos, Mela Casal, César Cambeiro","Spain","December 11, 2020",2020,"TV-MA","1 Season","International TV Shows, Spanish-Language TV Shows, TV Dramas","","6.8/10","58/100",1,0,0,0,"High",4,0.25,0.63
"TV Show","Alice in Borderland","","Kento Yamazaki, Tao Tsuchiya, Nijiro Murakami, Yuki Morinaga, Keita Machida, Ayaka Miyoshi, Dori Sakurada, Aya Asahina, Shuntaro Yanagi, Yutaro Watanabe, Ayame Misaki, Mizuki Yoshida, Tsuyoshi Abe, Nobuaki Kaneko, Sho Aoyagi, Riisa Naka","Japan","December 10, 2020",2020,"TV-MA","1 Season","International TV Shows, TV Action & Adventure, TV Mysteries","","7.7/10","67/100",1,0,0,0,"High",4,0.25,0.72
"TV Show","Futmalls.com","Lai Chun-yu","Bryan Chang, Eugenie Liu, Bruce He, Ivy Shao, Allison Lin, River Huang, Ting Chun-cheng, Wang Ko-yuan, Phoebe Huang, Chu Chung-heng, Wu Chien-ho, Camille Chalons","","December 10, 2020",2020,"TV-14","1 Season","Crime TV Shows, International TV Shows, TV Dramas","16+","","22/100",1,0,0,0,"Medium",4,0.25,NA
"TV Show","Once Upon a Time","","Ruby, Mohamed Farraag, Ahmed Dawood, Sawsan Badr, Arwa Gouda, Hesham Ismail, Ali Al Tayeb, Mahmoud El-Bezzawy, Heba Abdelghany, Hany Seif","Egypt","December 9, 2020",2019,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","7+","7.7/10","83/100",0,0,0,1,"Medium",5,0.25,0.8
"TV Show","The Big Show Show","","Paul Wight, Allison Munn, Reylynn Caster, Lily Brooks O'Briant, Juliet Donenfeld","United States","December 9, 2020",2020,"TV-G","2 Seasons","Kids' TV, TV Comedies","all","6.4/10","52/100",1,0,0,0,"Low",4,0.25,0.58
"TV Show","The Expanding Universe of Ashley Garcia","","Paulina Chávez, Jencarlos Canela","United States","December 9, 2020",2020,"TV-PG","3 Seasons","Kids' TV, TV Comedies, Teen TV Shows","all","6.8/10","51/100",1,0,0,0,"Low",4,0.25,0.595
"TV Show","The Surgeon's Cut","","","United States","December 9, 2020",2020,"TV-14","1 Season","Docuseries, Science & Nature TV","","8.5/10","53/100",1,0,0,0,"Medium",4,0.25,0.69
"TV Show","Juman","","Nour Al Ghandour, Muhanad Al-Hamdi, Huda El Khateib, Hassan Ibrahim, Abdullah Al-Turkumani, Nasser Kermani, Foaz Al -Shatti, Muhammad Al Dousari, Ahmed El Hozeem, Ghorour, Fatma Al Tabbakh","Kuwait","December 8, 2020",2019,"TV-PG","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","","5.4/10","43/100",1,0,0,0,"Low",5,0.25,0.485
"TV Show","Mr. Iglesias","","Gabriel Iglesias, Sherri Shepherd, Jacob Vargas, Maggie Geha, Richard Gant, Cree Cicchino, Fabrizio Guido, Oscar Nuñez","United States","December 8, 2020",2020,"TV-14","3 Seasons","TV Comedies, Teen TV Shows","16+","7.1/10","59/100",1,0,0,0,"Medium",4,0.25,0.65
"TV Show","100 Days My Prince","","Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee","South Korea","December 7, 2020",2018,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","16+","7.7/10","55/100",1,0,0,0,"Medium",6,0.25,0.66
"TV Show","Manhunt: Deadly Games","","Cameron Britton, Jack Huston, Judith Light, Carla Gugino, Gethin Anthony, Kelly Jenrette, Arliss Howard, Jay O. Sanders, Nick Searcy, Marley Shelton, Becky Ann Baker, Brad William Henke","","December 7, 2020",2020,"TV-14","1 Season","Crime TV Shows, TV Dramas, TV Mysteries","","","23/100",1,0,0,0,"Medium",4,0.25,NA
"TV Show","Room 2806: The Accusation","Jalil Lespert","","France","December 7, 2020",2020,"TV-MA","1 Season","Crime TV Shows, Docuseries, International TV Shows","","7.0/10","51/100",1,0,0,0,"High",4,0.25,0.605
"TV Show","Detention","Su I-Hsuan, Chuang Shiang-an, Liu Yi","Li Lingwei, Han Ning, Huang Guanzhi, Jack Yao, Hsia Teng-hung, David Chao, Luo Guanxu, Wu Kunda, Serena Fang, Carol Cheng, Chang Han","Taiwan","December 5, 2020",2020,"TV-MA","1 Season","International TV Shows, TV Dramas, TV Horror","","6.3/10","46/100",1,0,1,0,"High",4,0.5,0.545
"TV Show","Bhaag Beanie Bhaag","","Swara Bhasker, Dolly Singh, Ravi Patel, Varun Thakur, Mona Ambegaonkar, Girish Kulkarni","India","December 4, 2020",2020,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","3.8/10","34/100",1,0,0,0,"High",4,0.25,0.36
"TV Show","Big Mouth","","Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas, Jenny Slate, Fred Armisen, Maya Rudolph, Jordan Peele","United States","December 4, 2020",2020,"TV-MA","4 Seasons","TV Comedies","18+","7.9/10","81/100",1,0,0,0,"High",4,0.25,0.8
"TV Show","Kings of Jo'Burg","","Shona Ferguson, Zolisa Xaluva, Tsholofelo Matshaba, Sello Sebotsane, Buhle Samuels, Thembi Seete, TK Sebothoma, Cindy Mahlangu, Lunathi Mampofu, Abdul Khoza, Connie Ferguson","South Africa","December 4, 2020",2020,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","","5.4/10","45/100",1,0,0,0,"High",4,0.25,0.495
"TV Show","The Great British Baking Show: Holidays","","Paul Hollywood, Prue Leith, Sandi Toksvig, Noel Fielding","","December 4, 2020",2020,"TV-MA","3 Seasons","British TV Shows, Reality TV","16+","","23/100",1,0,0,0,"High",4,0.25,NA
"TV Show","Alien Worlds","","","United Kingdom","December 2, 2020",2020,"TV-PG","1 Season","British TV Shows, Docuseries, International TV Shows","7+","6.5/10","54/100",1,0,0,0,"Low",4,0.25,0.595
"TV Show","Check The Store Next Door: The Next Chapter","","Ernest Prakasa, Chew Kin Wah, Dion Wiyoko, Morgan Oey, Anggika Bolsterli, Arie Kriting, Yusril Fahriza, Awwe, Adjis Doaibu, Aci Resti, Bintang Emon, Jenny Zhang, Soleh Solihun, Denny Gitong","Indonesia","December 2, 2020",2020,"TV-14","2 Seasons","International TV Shows, TV Comedies, TV Dramas","","7.9/10","41/100",1,0,0,0,"Medium",4,0.25,0.6
"TV Show","Gormiti","","Dermot Arrigan, Jenny Beacraft, Stephanie Figueira, Ella Galt, James Giblin, Noah Levin","Spain, Italy","December 1, 2020",2018,"TV-Y","1 Season","Kids' TV","7+","6.0/10","41/100",1,0,0,0,"Low",6,0.25,0.505
"TV Show","Ink Master","","Dave Navarro, Chris Nuñez, Oliver Peck","United States","December 1, 2020",2012,"TV-14","2 Seasons","Reality TV","16+","7.4/10","63/100",1,0,0,0,"Medium",12,0.25,0.685
"TV Show","Stargate SG-1","","Richard Dean Anderson, Michael Shanks, Amanda Tapping, Christopher Judge, Don S. Davis, Corin Nemec, Ben Browder, Beau Bridges, Gary Jones","United States, Canada","December 1, 2020",2006,"TV-MA","10 Seasons","Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy","13+","8.4/10","79/100",1,1,0,0,"High",18,0.5,0.815
"TV Show","The Bachelorette","","","United States","December 1, 2020",2010,"TV-14","1 Season","Reality TV, Romantic TV Shows","16+","3.4/10","60/100",1,1,0,0,"Medium",14,0.5,0.47
"TV Show","The Guest","","Kim Dong-wook, Kim Jae-uk, Jung Eun-chae, Ahn Nae-sang, Lee Won-jong, Park Ho-san","South Korea","December 1, 2020",2018,"TV-14","1 Season","International TV Shows, TV Horror, TV Mysteries","","8.2/10","53/100",1,0,0,0,"Medium",6,0.25,0.675
"TV Show","The Holiday Movies That Made Us","","","United States","December 1, 2020",2020,"TV-PG","1 Season","Docuseries","","7.1/10","51/100",1,0,0,0,"Low",4,0.25,0.61
"TV Show","The Repair Shop","","","United Kingdom","December 1, 2020",2018,"TV-PG","1 Season","British TV Shows, Reality TV","","8.7/10","59/100",1,0,0,0,"Low",6,0.25,0.73
"TV Show","The Uncanny Counter","","Cho Byeong-kyu, Yu Jun-sang, Kim Se-jeong, Yeom Hye-ran, Ahn Seok-hwan, Moon Sook, Choi Yoon-young, Lee Hong-nae","South Korea","November 29, 2020",2020,"TV-14","1 Season","International TV Shows, TV Action & Adventure, TV Dramas","","8.2/10","58/100",1,0,0,0,"Medium",4,0.25,0.7
"TV Show","Fabulous Lives of Bollywood Wives","","","India","November 27, 2020",2020,"TV-MA","1 Season","International TV Shows, Reality TV","","4.7/10","55/100",1,0,0,0,"High",4,0.25,0.51
"TV Show","Heartbreak High","","Callan Mulvey, Lara Cox, Emma Roche, Ada Nicodemou, Rel Hunt, Putu Winchester, Salvatore Coco, Barbara Gouskos, Ivar Kants, Stephen O'Rourke, Abi Tucker, Scott Major, Corey Page, Despina Caldis, Deni Gordon, Jon Pollard, Vince Poletto, Andrea Moor, Jeremy Lindsay Taylor, Doris Younane, Tony Martin, Sebastian Goldspink, Katherine Halliday, Marcel Bracks, Nina Liu, Morna Seres, Nathalie Roy, Rebecca Smart, Fleur Beaupert, Alex Dimitriades, Tina Bursill, Peter Sumner, Mario Gamma, Tai Nguyen, Inge Hornstra, Rupert Reid, John Walton, Nick Lathouris, Hugh Baldwin, Sarah Lambert, Jan Adele, Diane Craig, Ian Bliss, Alexandra Brunning, Kym Wilson, Isabella Gutierrez, Simon Baker","Australia","November 27, 2020",1999,"TV-14","7 Seasons","International TV Shows, TV Dramas, Teen TV Shows","7+","7.8/10","51/100",1,0,0,0,"Medium",25,0.25,0.645
"TV Show","Over Christmas","","Luke Mockridge, Seyneb Saleh, Cristina do Rego, Lucas Reiber, Johanna Gastdorf, Rudolf Kowalski, Carmen-Maja Antoni, Eugen Bauder, Jonathan Kwesi Aikins, Martina Eitner-Acheampong, Eike Weinreich, Eskindir Tesfay","Germany","November 27, 2020",2020,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","6.7/10","44/100",1,0,0,0,"High",4,0.25,0.555
"TV Show","Sugar Rush Christmas","","Hunter March, Candace Nelson, Adriano Zumbo","United States","November 27, 2020",2020,"TV-14","2 Seasons","Reality TV","","6.9/10","45/100",1,0,0,0,"Medium",4,0.25,0.57
"TV Show","Great Pretender","","Chiaki Kobayashi, Junichi Suwabe, Natsumi Fujiwara, Mie Sonozaki","Japan","November 25, 2020",2020,"TV-MA","2 Seasons","Anime Series, Crime TV Shows, International TV Shows","18+","8.0/10","69/100",1,0,0,0,"High",4,0.25,0.745
"TV Show","Before 30","BB Sasore","Damilola Adegbite, O.C. Ukeje, Beverly Naya, Meg Otanwa, Anee Icha, Patrick Diabuah, Tunbosun Aiyedehin, Patrick Doyle","Nigeria","November 24, 2020",2015,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","8.1/10","32/100",1,0,0,0,"High",9,0.25,0.565
"TV Show","Valentino","","Adel Imam, Dalal Abdelaziz, Hamdy Al-Merghany, Mohamed al-Kilani, Tarek El Ebiary, Huda El Mufti, Soleiman Eid, Badria Tolba, Reda Idrees, Enaam Al-Gritly, Wafaa Sadeq, Rania Mahmoud Yassin","Egypt","November 24, 2020",2020,"TV-14","1 Season","International TV Shows, TV Comedies, TV Dramas","","5.5/10","40/100",1,0,0,0,"Medium",4,0.25,0.475
"TV Show","Strongest Deliveryman","","Ko Kyung-pyo, Chae Soo-bin, Kim Seon-ho, Go Won-hee","South Korea","November 23, 2020",2017,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","","7.3/10","44/100",1,0,0,0,"High",7,0.25,0.585
"TV Show","Flavorful Origins","","Yang Chen","China","November 20, 2020",2020,"TV-G","3 Seasons","Docuseries, International TV Shows","all","7.8/10","47/100",1,0,0,0,"Low",4,0.25,0.625
"TV Show","Heart & Soul","","Anthony Monjaro, Phoenix Ezendu, Ademola Amoo, Chioma Adibe, Ijeoma Richards, Joy Mmezi","","November 20, 2020",2019,"TV-14","1 Season","International TV Shows, TV Dramas","","","20/100",1,0,0,0,"Medium",5,0.25,NA
"TV Show","Mismatched","","Prajakta Koli, Rohit Saraf, Vihaan Samat, Taaruk Raina, Vidya Malavade, Kritika Bharadwaj, Rannvijay Singh, Muskkaan Jaferi, Devyani Shorey, Suhasini Mulay, Abhinav Sharma, Ravin Makhija","India","November 20, 2020",2020,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","18+","5.5/10","49/100",1,0,0,0,"High",4,0.25,0.52
"TV Show","Voices of Fire","","Pharrell Williams","United States","November 20, 2020",2020,"TV-PG","1 Season","Docuseries, Reality TV","","6.9/10","42/100",1,0,0,0,"Low",4,0.25,0.555
"Movie","Bodyguard","Siddique","Salman Khan, Kareena Kapoor, Raj Babbar, Asrani, Vidya Sinha, Hazel Keech, Chetan Hansraj, Salim Baig","India","November 19, 2020",2011,"TV-14","130 min","Action & Adventure, Comedies, International Movies","18+","8.1/10","83/100",1,0,0,0,"Medium",13,0.25,0.82
"TV Show","Holiday Home Makeover with Mr. Christmas","","Benjamin Bradley","United States","November 18, 2020",2020,"TV-G","1 Season","Reality TV","all","5.7/10","38/100",1,0,0,0,"Low",4,0.25,0.475
"TV Show","The Boss Baby: Back in Business","","JP Karliak, Pierce Gagnon, Kevin Michael Richardson, Alex Cazares, Flula Borg, Jake Green, Eric Bell Jr., David Lodge, Hope Levy, David Collins, Tony Hale, Nicole Sullivan","United States","November 17, 2020",2020,"TV-Y7","4 Seasons","Kids' TV, TV Comedies","7+","6.5/10","65/100",1,0,0,0,"Low",4,0.25,0.65
"TV Show","We Are the Champions","","","United States","November 17, 2020",2020,"TV-MA","1 Season","Docuseries, Reality TV","","7.1/10","50/100",1,0,0,0,"High",4,0.25,0.605
"TV Show","America's Next Top Model","","Tyra Banks","United States","November 15, 2020",2013,"TV-14","2 Seasons","Reality TV","7+","5.5/10","61/100",1,1,1,0,"Medium",11,0.75,0.58
"TV Show","Beyblade Burst Rise","","Erika Harlacher, Griffin Puatu, Kimlinh Tran, Taylor Henry, Janice Roman Roku, Brian Anderson","Japan","November 15, 2020",2019,"TV-Y","1 Season","Anime Series, Kids' TV","7+","6.5/10","44/100",1,0,0,0,"Low",5,0.25,0.545
"TV Show","Polly Pocket","","Emily Tennant, Shannon Chan-Kent, Kazumi Evans, Patricia Drake, Rhona Rees, Ian Hanlin, Maryke Hendrikse, Vincent Tong, David Kaye, Ellen Kennedy","Canada, United States, Ireland","November 15, 2020",2021,"TV-Y","2 Seasons","Kids' TV","7+","6.8/10","45/100",1,0,0,0,"Low",3,0.25,0.565
"TV Show","Survivor","","Jeff Probst, Jerri Manthey, Colby Donaldson, Rupert Boneham, Parvati Shallow, Rob Mariano, Amanda Kimmel, James Clement, Amber Brkich, Alicia Calaway, Ethan Zohn, Tina Wesson","United States","November 15, 2020",2014,"TV-14","2 Seasons","Reality TV","7+","7.2/10","72/100",1,1,1,0,"Medium",10,0.75,0.72
"TV Show","The Crown","","Claire Foy, John Lithgow, Matt Smith, Vanessa Kirby, Jared Harris, Victoria Hamilton, Eileen Atkins, Jeremy Northam, Alex Jennings, Ben Miles, Pip Torrens, Will Keen, Harry Hadden-Paton, Daniel Ings, Greg Wise, Harriet Walter, Lia Williams, Matthew Goode, Anton Lesser","United Kingdom, United States","November 15, 2020",2020,"TV-MA","4 Seasons","British TV Shows, International TV Shows, TV Dramas","18+","8.6/10","89/100",1,0,0,0,"High",4,0.25,0.875
"TV Show","American Horror Story","","Evan Peters, Sarah Paulson, Jessica Lange, Denis O'Hare, Kathy Bates, Angela Bassett, Lily Rabe, Frances Conroy, Cheyenne Jackson, Emma Roberts, Taissa Farmiga, Wes Bentley, Finn Wittrock, Chloë Sevigny, Zachary Quinto, Jamie Brewer, Naomi Grossman, Dylan McDermott, Gabourey Sidibe, Lady Gaga, Mare Winningham, Joseph Fiennes, Michael Chiklis, Matt Bomer, Lizzie Brocheré, Erika Ervin, Mat Fraser, Rose Siggins, Connie Britton, James Cromwell, Adina Porter, Jyoti Amge, Billie Lourde, Alison Pill, Billy Eichner, Leslie Grossman, Colton Haynes, Cuba Gooding Jr., André Holland, Danny Huston","United States","November 13, 2020",2019,"TV-MA","9 Seasons","TV Horror, TV Mysteries, TV Thrillers","18+","8.0/10","86/100",1,1,1,0,"High",5,0.75,0.83
"TV Show","The Minions of Midas","Mateo Gil","Luis Tosar, Marta Belmonte, Guillermo Toledo, Carlos Blanco, Marta Milans, Goize Blanco, Elena Irureta, Bea Segura, Jorge Andreu, Daniel Holguín, Adolfo Fernández, Fernando Barona, Juan Blanco, Ahmed Boulane, Pepe Ocio, Vito Sanz, Adelfa Calvo, Joaquín Climent, Carmelo Gómez, Miguel Ángel Solá","Spain","November 13, 2020",2020,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","","6.6/10","53/100",1,0,0,0,"High",4,0.25,0.595
"TV Show","Ethos","","Öykü Karayel, Fatih Artman, Funda Eryiğit, Defne Kayalar, Settar Tanrıöğen, Tülin Özen, Alican Yücesoy, Bige Önal","Turkey","November 12, 2020",2020,"TV-MA","1 Season","International TV Shows, TV Dramas","","8.6/10","63/100",1,0,0,0,"High",4,0.25,0.745
"TV Show","Graceful Friends","","Yu Jun-sang, Song Yoon-a, Bae Soo-bin, Kim Sung-oh, Jung Seok-yong, Kim Won-hae","South Korea","November 12, 2020",2020,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","","6.7/10","38/100",1,0,0,0,"High",4,0.25,0.525
"TV Show","Aunty Donna's Big Ol' House of Fun","","Mark Samual Bonanno, Broden Kelly, Zachary Ruane, Ed Helms, Kristen Schaal, Weird Al Yankovic, Kia Stevens, Paul F. Tompkins, Tawny Newsome","Australia","November 11, 2020",2020,"TV-MA","1 Season","TV Comedies","","8.0/10","57/100",1,0,0,0,"High",4,0.25,0.685
"TV Show","The Liberator","","Bradley James, Martin Sensmeier, Jose Miguel Vasquez, Forrest Goodluck, Bryan Hibbard, Matt Mercurio, Harrison Stone, Billy Breed, Tatanka Means, Kiowa Gordon","United States","November 11, 2020",2020,"TV-MA","1 Season","TV Action & Adventure, TV Dramas","7+","7.6/10","61/100",1,0,0,0,"High",4,0.25,0.685
"TV Show","Trial 4","","","United States","November 11, 2020",2020,"TV-MA","1 Season","Crime TV Shows, Docuseries","","7.4/10","53/100",1,0,0,0,"High",4,0.25,0.635
"TV Show","Bakugan: Battle Planet","","Jonah Wineberg, Deven Christian Mack, Margarita Valderrama, Ticoon Kim, Jason Deline, Will Bowes","Japan, Canada, United States","November 6, 2020",2018,"TV-PG","1 Season","Anime Series, Kids' TV","all","4.9/10","40/100",1,0,0,0,"Low",6,0.25,0.445
"TV Show","Country Ever After","","","United States","November 6, 2020",2020,"TV-PG","1 Season","Reality TV","","6.5/10","36/100",1,0,0,0,"Low",4,0.25,0.505
"TV Show","Wrong Kind of Black","","Clarence Ryan, Aaron L. McGrath, Lisa Flanagan, Tommy Lewis, Nilbi Yasserie, Christopher Ketchup, Boori Monty Pryor, Jacek Koman, Colin Lane, Arthur Angel, Toby Truslove","Australia","November 6, 2020",2018,"TV-MA","1 Season","International TV Shows, TV Comedies, TV Dramas","","7.6/10","38/100",1,0,0,0,"High",6,0.25,0.57
"TV Show","Carmel: Who Killed Maria Marta?","Alejandro Hartmann","","Argentina","November 5, 2020",2020,"TV-14","1 Season","Crime TV Shows, Docuseries, International TV Shows","","7.1/10","54/100",1,0,0,0,"Medium",4,0.25,0.625
"TV Show","Paranormal","","Ahmed Amin, Razane Jammal, Ayah Samaha, Samaa Ibrahem, Roshdy El Shamy, Reem Abd El Kader","Egypt","November 5, 2020",2020,"TV-14","1 Season","International TV Shows, TV Dramas, TV Horror","7+","8.5/10","71/100",1,0,0,0,"Medium",4,0.25,0.78
